28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28049001838902050218-01.3V-01.7V-02.1V-02.6V-03.3V-04.1V-04.6V-04.2V-03.0V-00.7V002.3V005.2V007.0V008.3V009.4V010.0V010.0V008.2V006.5V005.5V003.9V002.6V001.8V000.8V
2804900186890205021800057V00057V00058V00060V00063V00067V00071V00069V00063V00056V00047V00037V00031V00027V00023V00021V00019V00021V00025V00032V00046V00050V00053V00057V
2804900187890205021800928V00929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00929V00928V00928V00927V00926V00926V00927V00927V00928V00929V00929V00929V00930V
2804900188890205021800004V00004V00004V00004V00004V00004V00004V00035V00182V00331V00456V00535V00564V00540V00457V00331V00171V00013V00004V00004V00004V00004V00004V00004V
28049001898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205021800002V00002V00002V00002V00002R00002R00005V00013V00006V00003V00004V00002V00002V00002V00002V00003V00002V00002V00002V00003V00002V00003V00003V00003V
2805100108080205021800006V00005V00006V00006V00007R00012R00023V00051V00030V00013V00016V00009V00007V00007V00005V00021V00010V00015V00015V00017V00014V00013V00018V00014V
28051001104902050218018.0V010.0V011.0V013.3V017.8V017.8V013.0V031.5V030.0V011.5V023.0V042.0V020.8V021.8V039.3V024.8V040.3V022.8V031.0V028.8V027.0V029.3V031.8V027.0V
2805100114060205021800056V00055V00052V00055V00054R00048R00032V00009V00034V00052V00047V00068V00077V00079V00085V00065V00078V00073V00070V00058V00058V00054V00044V00045V
28051001828902050218268.5V275.5V273.3V288.5V277.0V236.5V184.3V310.8V225.5V123.3V107.8V118.8V202.3V186.5V218.5V247.0V269.5V291.5V324.0V312.8V310.0V231.0V303.8V287.3V
28051001818902050218003.3V003.0V003.5V003.8V003.1V001.8V001.2V001.5V001.4V002.0V001.6V001.9V001.9V001.8V002.0V003.5V005.2V004.3V004.8V004.8V004.5V002.8V002.2V002.0V
28051001838902050218-00.9V-01.3V-01.5V-01.8V-02.0V-02.4V-03.2V-02.5V-00.4V000.2V003.0V005.7V006.7V007.6V008.7V009.0V008.8V007.1V005.8V004.6V003.9V003.1V002.0V001.3V
28051001868902050218060.3V061.6V061.7V063.1V062.5V062.9V064.8V061.4V054.6V052.3V048.5V035.0V028.6V030.6V031.3V034.4V031.5V032.8V039.8V048.6V050.8V052.9V056.7V059.5V
2805100187890205021800926V00926V00926V00926V00925V00925V00926V00926V00926V00926V00926V00926V00926V00924V00924V00923V00923V00923V00924V00925V00925V00926V00927V00927V
2805100188890205021800004V00004V00004V00004V00004V00004V00004V00049V00219V00387V00518V00593V00612V00577V00482V00339V00170V00022V00004V00004V00004V00004V00004V00004V
28051001898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205021800002V00002V00001R00002V00002V00006V00032V00045V00033V00014V00013V00008V00005V00005V00005V00006V00005V00009V00026V00022V00010V00008V00009V00003V
2804500208080205021800008V00007V00009R00007V00007V00014V00028V00032V00029V00020V00018V00010V00009V00007V00010V00015V00016V00023V00034V00027V00018V00013V00016V00012V
28045002064802050218000.5V000.5V000.5R000.4V000.4V000.7V001.9V002.3V001.4V000.8V000.7V000.5V000.5V000.5V000.6V000.7V000.7V000.8V001.3V001.3V000.8V000.7V000.7V000.6V
2804500210490205021800006V00007V00011V00010V00008V00009V00010V00024V00060V00060V00046V00039V00038V00016V00018V00019V00020V00026V00034V00047V00040V00032V00025V00020V
2804500214060205021800073V00070V00068R00067V00066V00046V00017V00013V00022V00047V00058V00077V00092V00097V00094V00083V00078V00060V00031V00044V00053V00060V00053V00052V
2804500282890205021800147V00152V00224V00215V00220V00192V00101V00165V00198V00091V00157V00163V00170V00168V00152V00163V00163V00161V00101V00047V00066V00056V00113V00248V
28045002818902050218001.1V000.8V000.8V000.8V000.8V000.8V000.6V000.7V000.8V000.8V000.9V001.6V001.6V001.7V001.8V001.9V001.6V001.4V001.3V001.7V002.4V001.5V000.9V001.0V
28045002838902050218-01.7V-02.9V-02.6V-02.5V-03.1V-03.7V-03.8V-03.0V-01.4V000.2V002.6V003.5V004.8V005.7V006.6V007.0V007.0V006.3V005.0V003.8V001.7V000.8V000.3V-00.4V
2804500286890205021800055V00063V00062V00060V00061V00064V00065V00062V00058V00050V00039V00038V00032V00028V00028V00028V00027V00030V00035V00041V00055V00058V00059V00063V
2804500287890205021800896V00896V00896V00896V00896V00896V00896V00896V00897V00897V00897V00897V00897V00896V00895V00895V00895V00896V00896V00896V00897V00898V00898V00898V
2804500288890205021800004V00004V00004V00004V00004V00004V00004V00035V00224V00396V00526V00602V00622V00577V00473V00324V00156V00017V00004V00004V00004V00004V00004V00004V
28045002898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205021800010V00012V00011V00012V00013V00012V00011V00013V00013V00013V00012V00010V00011V00011V00011V00011V00010V00010V00011V00012V00012V00012V00010V00010V
2808000307080205021800009V00011V00011V00011V00027V00018V00045V00114V00080V00067V00054V00028V00021V00021V00021V00020V00012V00012V00020V00016V00019V00013V00010V00010V
2808000308080205021800019V00021V00026V00021V00034V00040V00046V00038V00033V00032V00028V00022V00020V00021V00026V00030V00020V00036V00058V00049V00054V00040V00020V00022V
28080003064802050218000.4V000.4V000.4V000.4V000.4V000.4V000.5V001.0V000.9V000.8V000.7V000.6V000.6V000.6V000.6V000.6V000.6V000.6V000.6V000.5V000.6V000.5V000.4V000.4V
2808000310490205021800010V00014V00015V00013V00013V00014V00014V00033V00055V00052V00045V00038V00032V00028V00025V00026V00029V00029V00039V00046V00035V00026V00016V00015V
2808000314060205021800043V00041V00027V00039V00014V00016V00007V00007V00012V00022V00029V00046V00053V00058V00056V00056V00075V00047V00021V00025V00014V00024V00044V00039V
2808000382890205021800035V00119V00108V00044V00108V00047V00101V00113V00053V00057V00106V00197V00297V00263V00074V00326V00309V00307V00335V00335V00131V00075V00069V00047V
28080003818902050218001.8V001.8V001.5V001.4V001.1V001.4V000.8V001.3V001.9V001.4V001.4V002.0V002.2V001.9V001.5V002.1V001.8V001.5V002.0V002.4V003.1V003.3V003.2V002.5V
28080003838902050218001.5V000.9V000.6V000.8V000.3V000.2V-00.1V000.1V001.5V003.5V005.7V007.3V008.5V009.1V010.1V010.6V010.6V009.8V007.7V006.4V005.5V004.6V003.8V002.8V
2808000386890205021800066V00068V00069V00065V00069V00066V00067V00068V00064V00057V00050V00045V00044V00039V00036V00033V00034V00038V00048V00055V00059V00061V00063V00067V
2808000387890205021800917V00917V00917V00917V00917V00917V00917V00917V00917V00918V00918V00918V00918V00917V00917V00917V00917V00917V00917V00918V00918V00919V00919V00919V
2808000388890205021800006V00007V00007V00007V00007V00007V00006V00057V00221V00380V00505V00573V00589V00549V00453V00318V00159V00022V00007V00007V00007V00007V00007V00006V
28080003898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205021800001V00001V00001V*****N00001V00003R00014V00017V00013V00007V00004V00004V00008V00007V00004V00009V00008V00014V00036V00028V00038V00015V00010V00003V
2801300208080205021800004V00004V00007V*****N00009V00020R00035V00028V00020V00014V00007V00008V00019V00019V00014V00028V00035V00067V00083V00077V00071V00059V00050V00031V
2801300210490205021800010V00009V00011V00013V00014V00015V00031V00051V00034V00028V00027V00017V00020V00028V00026V00026V00042V00053V00053V00073V00075V00073V00058V00046V
2801300214060205021800076V00073V00067V*****N00060V*****N00015V00018V00030V00055V00077V00087V00081V00089V00095V00077V00064V00029V00009V00010V00010V00008V00012V00034V
2801300282890205021800074V00062V00078V00067V00090V00073V00028V00040V00035V00106V00325V00281V00135V00270V00150V00232V00248V00243V00203V00214V00124V00079V00080V00072V
28013002818902050218002.2V001.3V001.0V001.0V001.1V000.6V000.6V000.6V000.5V000.5V001.0V001.0V001.0V001.6V001.2V001.6V001.5V001.1V001.5V001.4V001.0V001.6V001.0V000.9V
28013002838902050218000.2V-00.8V-01.6V-02.3V-03.1V-03.3V-04.8V-06.3V-04.3V-00.7V001.8V004.0V005.8V007.1V008.5V009.2V009.5V009.1V006.9V005.8V004.5V001.8V001.0V000.9V
2801300286890205021800051V00054V00056V00059V00062V00063V00068V00074V00067V00055V00047V00039V00034V00030V00026V00026V00025V00024V00032V00034V00037V00044V00047V00050V
2801300287890205021800948V00948V00948V00948V00948V00948V00948V00949V00949V00949V00949V00949V00948V00947V00947V00946V00946V00947V00947V00947V00947V00948V00949V00949V
2801300288890205021800004V00004V00004V00004V00004V00004V00004V00054V00240V00410V00541V00615V00626V00582V00484V00326V00163V00017V00004V00004V00004V00004V00004V00004V
28013002898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205021800058V00056V00046V00039V00031V00029V00011V00004V00020V00028V00044V00052V00053V00061V00062V00061V00060V00045V00007V00003V00018V00053V00063V00061V
2802700114060205021800079V00087V00082V00078V00064V00043V00031V00024V00043V00078V00104V00108V00111V00109V00112V00116V00116V00109V00092V00083V00090V00091R00073V00080V
2806800114060205021800068V00073V00054V00054V00056V00033V00023V00025V00049V00071V00089V00092V00092V00096V00088V00081R00083V00081V00078V00076V00077V00050V00022V00049V
2813300114060205021800077V00074V00072V00075V00075V00075V00073V00055V00053V00077V00087V00095V00098V00100V00100V00101V00102V00098V00094V00084V00083V00078V00072V00068V
2806501201380205021900003V00003V00004V00005V00006V00009V00011V00010V00015V00015V00008V00003V00003R00004V00003V00003V00003V00004V00004V00006V00005V00006V00006V00005V
2806501207080205021900006V00017V00012V00026V00063V00137V00139V00147V00184V00170V00065V00017V00018R00015V00010V00011V00019V00040V00042V00035V00026V00045V00032V00026V
2806501208080205021900037V00057V00062V00071V00080V00096V00099V00104V00109V00115V00081V00040V00037R00038V00032V00032V00041V00066V00083V00084V00078V00092V00084V00081V
28065012064802050219000.5V000.6V000.5V000.6V000.9V001.3V001.4V001.3V001.3V001.5V000.9V000.6V000.5R000.5V000.5V000.5V000.6V000.9V000.9V000.7V000.8V000.8V000.8V000.8V
2806501210490205021900027V00024V00033V00034V00031V00036V00047V00051V00064V00089V00077V00065V00033V00033V00029V00023V00020V00027V00025V00035V00038V00040V00042V00038V
2806501214060205021900037V00018V00010V00002V00001V00001V00002V00003V00020V00008V00025V00057V00059R00060V00065V00067V00056V00036V00018V00013V00017V00008V00008V00005V
2806501282890205021900048V00113V00210V00294V00308V00321V00253V00180V00080V00163V00237V00214V00282V00293V00276V00304V00040V00130V00330V00293V00316V00322V00185V00164V
28065012818902050219003.6V002.1V002.1V001.9V001.6V001.5V001.9V001.7V001.6V001.7V002.3V002.6V003.7V003.3V003.2V002.6V003.5V002.5V003.7V002.8V003.1V002.8V002.0V001.8V
28065012838902050219004.5V004.0V003.4V002.6V002.3V002.0V002.0V002.6V004.8V007.5V009.6V011.5V012.8V014.4V015.0V015.3V014.3V012.8V010.9V009.5V009.8V009.7V009.1V008.3V
2806501286890205021900056V00057V00060V00063V00064V00065V00065V00064V00059V00051V00045V00041V00040V00038V00036V00035V00038V00042V00048V00053V00052V00053V00055V00060V
2806501287890205021900930V00930V00930V00929V00929V00929V00929V00930V00930V00930V00930V00930V00929V00928V00927V00927V00927V00927V00927V00927V00927V00927V00928V00928V
2806501288890205021900004V00004V00004V00004V00004V00004V00004V00004V00151V00284V00385V00454V00468V00438V00353V00241V00114V00008V00004V00004V00004V00004V00004V00004V
28065012898902050219000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.8V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050219000.2V000.2V000.4V000.3V000.3V001.1V001.6V001.2V002.0V001.7V001.0V000.5V000.2V000.2V000.2V000.3V000.3V000.3V001.0V000.7V000.3V000.5V000.6V000.6V
28065012205902050219002.3V000.9V001.4V001.8V002.6V005.9V009.2V005.8V010.1V012.0V006.7V003.0V000.9V001.0V000.8V000.9V001.0V001.2V003.5V002.6V001.6V001.6V002.0V002.1V
28065012315902050219005.8V003.2V005.0V001.1V001.5V003.5V006.5V003.3V005.8V005.0V002.8V001.5V000.8V000.8V000.8V000.9V000.9V001.2V002.1V001.8V000.9V000.9V007.9V002.3V
2807400701380205021900003V00004V00004V00004V00003V00004V00006V00009V00014V00015V00007V00004V00004V00005V00005V00004V00004V00005V00004V00005V00004V00004V00004V00005V
2807400707080205021900002V00033V00041V00068V00032V00054V00088V00156V00196V00160V00039V00010V00012V00010V00008V00005V00005V00019V00021V00029V00015V00016V00010V00044V
2807400708080205021900025V00063V00068V00070V00062V00062V00076V00092V00112V00113V00052V00022V00025V00021V00021V00017V00023V00047V00057V00073V00052V00059V00041V00066V
28074007064802050219000.6V000.9V001.0V001.1V000.8V001.0V001.2V001.6V001.6V001.5V000.9V000.7V000.7V000.7V000.6V000.6V000.6V000.9V000.8V000.9V000.7V000.7V000.6V001.0V
2807400710490205021900022V00018V00024V00034V00037V00032V00044V00049V00068V00072V00075V00039V00026V00025V00020V00016V00021V00015V00021V00038V00038V00032V00042V00022V
2807400714060205021900039V00007V00003V00003V00004V00004V00003V00004V00005V00009V00042V00064V00063V00066V00070V00071V00064V00041V00030V00016V00029V00023V00035V00015V
2807400782890205021900046V00206V00266V00229V00238V00236V00199V00091V00040V00068V00236V00224V00243V00214V00315V00299V00170V00174V00308V00277V00293V00292V00231V00130V
28074007818902050219001.9V001.0V000.9V000.9V001.1V001.1V001.0V001.0V001.1V001.3V001.7V001.8V002.8V003.0V002.2V002.0V001.7V002.0V002.8V001.6V002.5V002.2V002.1V000.9V
28074007838902050219001.4V-00.1V-01.1V-02.0V-01.8V-02.6V-02.0V-00.9V001.7V004.3V006.9V008.4V009.9V011.3V012.1V012.4V012.1V010.1V007.5V006.3V006.3V006.2V006.1V005.3V
2807400786890205021900054V00060V00065V00068V00067V00071V00069V00065V00057V00050V00041V00037V00037V00035V00033V00032V00034V00039V00048V00053V00053V00053V00054V00058V
2807400787890205021900928V00928V00928V00928V00928V00928V00927V00928V00928V00928V00928V00928V00927V00926V00925V00925V00925V00925V00925V00925V00925V00926V00926V00926V
2807400788890205021900004V00004V00004V00004V00004V00004V00004V00047V00194V00333V00449V00525V00540V00490V00401V00273V00130V00009V00004V00004V00004V00004V00004V00004V
28074007898902050219000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205021900010V00006V00005V00005V00006V00008V00010V00011V00017V00026V00017V00010V00006V00004V00004V00004V00004V00005V00007V00011V00008V00005V00005V00004V
2800500207080205021900017V00015V00018V00020V00041V00062V00057V00065V00086V00081V00041V00018V00008V00008V00006V00006V00006V00015V00023V00111V00030V00007V00007V00007V
2800500208080205021900047V00035V00038V00041V00053V00056V00050V00053V00061V00070V00048V00027V00013V00005V00004V00003V00005V00032V00053V00090V00052V00018V00021V00018V
28005002064802050219000.8V000.8V000.7V000.8V001.0V001.3V001.2V001.2V001.3V001.5V000.8V000.8V000.7V000.6V000.6V000.6V000.6V000.8V001.0V001.7V001.0V000.7V000.5V000.6V
2800500210490205021900031V00039V00026V00027V00034V00042V00043V00040V00053V00076V00076V00040V00031V00035V00094V00168V00143V00064V00031V00039V00045V00043V00020V00020V
2800500214060205021900012V00022V00015V00012V00003V00002V00001V00004V00007V00013V00025V00047V00061V00073V00078V00077V00074V00046V00026V00005V00023V00051V00052V00051V
2800500282890205021900135V00107V00225V00152V00184V00192V00203V00158V00187V00125V00123V00220V00202V00178V00101V00101V00045V00039V00064V00135V00147V00288V00315V00265V
28005002818902050219001.5V001.8V001.6V000.9V001.0V001.2V001.3V001.5V001.2V001.8V002.0V001.9V002.8V006.5V007.3V007.5V006.7V003.4V002.1V001.3V002.7V002.8V003.0V002.6V
28005002838902050219000.7V000.3V-00.8V-01.6V-01.8V-02.5V-03.3V-02.0V000.9V003.5V006.4V009.2V010.9V011.8V011.8V011.6V011.2V010.3V009.0V007.8V007.7V007.1V006.5V005.7V
2800500286890205021900060V00061V00066V00069V00070V00074V00077V00073V00061V00053V00046V00040V00037V00034V00032V00033V00033V00036V00041V00044V00049V00052V00052V00055V
2800500287890205021900959V00958V00958V00958V00958V00958V00958V00959V00959V00959V00959V00958V00957V00956V00956V00956V00956V00955V00956V00956V00956V00956V00957V00957V
2800500288890205021900004V00004V00004V00004V00004V00004V00004V00033V00161V00292V00401V00463V00477V00445V00360V00241V00106V00007V00004V00004V00004V00004V00004V00004V
28005002898902050219000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205021900010V00020V00013V00011V00002V00001V00006V00003V00006V00011V00022V00044V00059V00069V00074V00074V00071V00044V00023V00002V00020V00049V00049V00049V
2800600401380205021900006V00007V00008V00013V00009V00008V00008V00010V00012V00011V00008V00007V00008V00008V00007V00007V00008V00007V00007V00006V00009V00009V00008V00007V
2800600407080205021900007V00016V00008V00014V00012V00038V00022V00041V00036V00011V00011V00005V00006V00005V00004V00005V00005V00004V00005V00005V00005V00009V00006V00003V
2800600408080205021900036V00055V00050V00059V00056V00063V00058V00067V00058V00039V00040V00020V00020V00020V00018V00020V00021V00031V00027V00040V00042V00058V00042V00017V
28006004064802050219000.7V000.7V000.7V000.8V000.8V000.8V000.8V001.0V000.8V000.7V000.8V000.8V000.8V000.9V000.9V000.9V000.8V000.8V000.5V000.5V000.6V000.8V000.6V000.5V
2800600410490205021900016V00013V00012V00022V00053V00032V00024V00027V00043V00031V00022V00024V00008V00004V00007V00010V00006V00002V00004V00015V00020V00012V00025V00015V
2800600414060205021900042V00023V00014V00007V00008V00005V00010V00007V00020V00042V00051V00075V00075V00078V00081V00074V00073V00059V00069V00053V00052V00026V00032V00069V
2800600482890205021900281V00138V00164V00217V00209V00266V00273V00161V00265V00226V00198V00180V00035V00034V00029V00030V00024V00257V00335V00314V00101V00129V00028V00101V
28006004818902050219001.3V001.2V001.4V001.1V000.8V001.3V001.6V001.2V001.4V001.8V002.3V004.8V006.3V006.5V005.6V005.6V004.8V003.3V004.8V002.9V003.0V002.2V003.0V005.2V
28006004838902050219-01.3V-01.7V-02.0V-03.2V-03.5V-03.8V-04.3V-03.6V-00.1V003.5V005.9V008.4V009.3V010.1V010.6V010.6V010.1V009.2V008.1V007.6V007.5V005.8V005.0V004.1V
2800600486890205021900059V00061V00061V00065V00066V00068V00070V00069V00061V00056V00051V00049V00046V00043V00041V00043V00044V00044V00046V00046V00049V00056V00058V00059V
2800600487890205021900944V00943V00943V00943V00943V00943V00943V00943V00944V00944V00944V00943V00943V00942V00941V00941V00941V00941V00941V00941V00941V00942V00942V00942V
2800600488890205021900004V00004V00004V00004V00004V00004V00004V00043V00198V00350V00471V00564V00587V00547V00457V00323V00166V00023V00004V00004V00004V00004V00004V00004V
28006004898902050219000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050219001.0V001.0V001.0V001.1V001.2V001.3V001.2V001.1V001.2V001.0V000.9V000.9V000.8V000.8V000.8V000.7V000.7V000.9V000.8V000.9V001.0V001.1V001.1V000.8V
28006004205902050219001.5V005.2V008.7V011.5V012.5V015.6V008.5V006.0V008.6V003.4V002.0V001.5V001.0V001.0V000.8V000.8V000.8V001.2V001.1V001.3V001.7V002.2V002.4V001.1V
28006004315902050219000.7V002.0V003.4V004.8V005.2V007.4V003.9V002.8V004.1V001.2V000.8V000.8V000.5V000.5V000.5V000.4V000.4V000.5V000.5V000.7V000.8V001.0V001.2V000.6V
2800600442020205021905.99V06.22V06.71V07.64V06.61V05.98V05.39V05.68V05.11V04.46V04.35V04.61V04.95V05.07V05.12V05.02V04.23V03.94V04.04V03.91V03.66V03.70V03.66V03.61V
2800600444020205021901.34V01.64V02.11V02.90V02.15V01.72V01.20V01.61V01.14V00.66V00.53V00.61V00.70V00.71V00.70V00.63V00.26V00.28V00.50V00.50V00.43V00.42V00.41V00.43V
2805800401380205021900007V00007V00008V00007V00007V00007V00009V00011V00011V00012V00008V00006V00005V00007V00007V00006V00007V00007V00007V00008V00009V00009V00008V00006V
2805800407080205021900005V00007V00014V00007V00006V00014V00018V00021V00026V00055V00012V00004V00006V00006V00005V00003V00003V00005V00006V00011V00008V00009V00003V00002V
