28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28080003064802050313000.9V000.9V000.7V000.8V000.6V000.6V000.6V000.6V000.6V000.7V000.7V000.7V000.8V000.7V000.6V000.6V000.5V000.5V000.5V000.6V000.7V000.7V000.6V000.6V
2808000310490205031300057V00060V00064V00056V00050V00044V00047V00051V00045V00048V00060V00055V00051V00057V00049V00040V00049V00048V00031V00024V00034V00037V00030V00019V
2808000314060205031300006V00006V00017V00011V00026V00033V00021V00033V00037V00038V00043V00062V00073V00098V00109V00104V00085V00076V00063V00016V00018V00006V00013V00017V
2808000382890205031300106V00029V00045V00057V00067V00052V00055V00055V00061V00068V00169V00169V00203V00260V00254V00261V00268V00255V00254V00237V00249V00253V00258V00268V
28080003818902050313000.6V000.9V001.4V001.6V002.2V001.8V001.4V002.1V002.2V001.5V001.3V002.0V002.3V002.7V003.0V003.7V004.3V004.2V002.4V001.7V001.8V002.1V002.0V001.9V
28080003838902050313009.7V009.8V009.9V009.8V009.9V009.4V009.2V009.6V010.1V012.4V014.3V016.4V017.4V018.3V018.5V017.9V017.4V016.5V014.7V013.3V012.7V011.9V011.3V010.9V
2808000386890205031300081V00080V00077V00078V00074V00074V00076V00072V00072V00073V00068V00058V00054V00048V00050V00056V00061V00063V00070V00078V00082V00083V00089V00091V
2808000387890205031300910V00909V00909V00909V00909V00909V00910V00910V00910V00911V00911V00911V00911V00910V00910V00910V00910V00910V00911V00911V00911V00911V00911V00912V
2808000388890205031300009V00009V00009V00009V00009V00009V00011V00049V00172V00347V00521V00617V00597V00591V00432V00151V00170V00068V00010V00009V00008V00009V00009V00009V
28080003898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205031300002V00001R00002V00002R00002V00004V00006V00009V00012V00026V00022V00006V00003V00002V00003V00002V00002V00001V00001V00006V00006V00008V00005V00002V
2801300208080205031300023V00015R00014V00014R00015V00015V00015V00014V00014V00025V00032V00018V00013V00010V00015V00012V00012V00015V00019V00041V00036V00029V00023V00014V
2801300210490205031300065V00061V00057V00049V00051V00051V00049V00049V00052V00060V00078V00076V00078V00066V00063V00079V00048V00034V00034V00042V00051V00046V00037V00033V
2801300214060205031300026V00027R00022V00018R00012V00010V00009V00011V00016V00022V00039V00074V00093V00105V00089V00085V00080V00069V00056V00024V00019V00010V00009V00018V
2801300282890205031300068V00051V00112V00121V00181V00038V00113V00100V00243V00232V00282V00243V00243V00237V00254V00186V00181V00074V00105V00164V00118V00080V00062V00062V
28013002818902050313000.6V000.7V000.4V000.6V000.3V000.4V000.4V000.3V000.8V000.9V001.7V002.1V002.4V002.0V002.3V002.8V001.3V001.1V000.9V001.4V000.9V000.4V000.6V000.6V
28013002838902050313008.3V007.5V007.0V007.0V006.8V006.9V006.6V007.0V008.2V010.8V013.1V014.9V016.6V017.7V017.2V015.0V014.7V014.9V013.2V013.0V011.5V009.1V008.0V007.1V
2801300286890205031300081V00086V00090V00089V00091V00091V00092V00090V00082V00071V00062V00057V00051V00046V00051V00063V00067V00068V00076V00070V00078V00091V00096V00100V
2801300287890205031300938V00938V00938V00937V00937V00937V00938V00938V00939V00939V00940V00940V00939V00938V00938V00938V00939V00939V00939V00940V00940V00941V00941V00941V
2801300288890205031300004V00004V00004V00004V00004V00004V00006V00084V00187V00436V00623V00679V00703V00514V00184V00086V00166V00069V00004V00004V00004V00004V00004V00004V
28013002898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.2V000.7V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205031300019V00021V00011V00003V00003V00002V00005V00005V00019V00025V00034V00058V00083V00099V00107V00104V00081V00065V00052V00037V00034V00011V00011V00002V
2802700114060205031300048V00050V00055V00057V00060V00053V00060V00060V00067V00088V00114V00130V00137V00135V00141V00140V00130V00122V00119V00099R00087V00080V00066V00045V
2806800114060205031300094V00104V00100V00094V00075V00082V00059V00065V00065V00093V00112V00119V00123V00128R00133V00126V00101V00054V00013V00040V00021V00023V00026V00045V
2813300114060205031300006V00011V00014V00017V00017V00016V00014V00011V00029V00044V00082V00090V00093V00099V00093V00090V00091V00082V00070V00032V00014V00004V00007V00007V
2806501201380205031400004V00004V00004V00005V00005V00007V00008V00016V00018V00018V00014R00009V00005V00005V00004V00004V00004V00005V00006V00007V00011V00012V00014V00013V
2806501207080205031400008V00002V00004V00022V00029V00049V00060V00213V00190V00207V00092R00045V00022V00024V00018V00020V00013V00032V00035V00040V00094V00123V00178V00145V
2806501208080205031400047V00034V00035V00055V00059V00068V00068V00116V00110V00132V00093R00065V00042V00047V00046V00053V00051V00066V00094V00099V00114V00117V00124V00114V
28065012064802050314000.7V000.5V000.4V000.6V000.8V001.3V001.4V002.1V001.9V001.6V001.0R000.8V000.6V000.8V000.6V000.7V000.6V000.8V000.8V000.8V001.0V001.3V001.5V001.3V
2806501210490205031400034V00051V00048V00034V00054V00053V00060V00065V00115V00121V00144V00112V00097V00048V00051V00055V00053V00057V00059V00066V00073V00082V00065V00082V
2806501214060205031400015V00023V00023V00002V00002V00002V*****N00002V00002V00004V00015R00031V00054V00054V00054V00060V00052V00032V00005V00004V00002V00002V00001V00001V
2806501282890205031400231V00220V00242V00156V00182V00180V00096V00045V00029V00080V00079V00102V00109V00124V00197V00176V00204V00197V00231V00231V00288V00324V00014V00103V
28065012818902050314001.6V001.6V001.1V001.4V001.1V001.6V001.5V002.2V002.6V002.5V002.6V002.3V002.6V003.0V002.6V003.1V002.7V002.6V001.8V001.6V001.6V001.3V002.0V001.6V
28065012838902050314011.9V011.8V012.2V011.1V010.8V011.2V011.1V011.4V012.4V013.9V016.5V018.9V019.9V020.2V020.9V021.2V020.1V019.6V018.5V017.8V017.5V017.2V016.6V016.0V
2806501286890205031400078V00080V00079V00082V00083V00082V00081V00081V00077V00070V00061V00056V00052V00050V00045V00042V00043V00045V00050V00053V00054V00054V00058V00059V
2806501287890205031400922V00922V00922V00922V00922V00922V00923V00923V00924V00924V00924V00924V00924V00923V00923V00923V00923V00923V00924V00924V00925V00925V00926V00926V
2806501288890205031400004V00004V00004V00004V00004V00004V00004V00021V00098V00225V00471V00537V00479V00438V00309V00309V00071V00019V00004V00004V00004V00004V00004V00004V
28065012898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050314000.2V000.2V000.1V000.2V000.3V000.4V001.1V001.7V004.6V001.6V001.1V000.5V000.2V000.2V000.3V000.3V000.1V000.4V000.6V000.4V000.6V000.7V001.6V001.7V
28065012205902050314000.6V000.8V000.8V001.3V001.9V003.1V004.2V007.2V030.6V009.0V007.1V003.2V001.4V006.5V002.5V002.6V001.1V002.4V004.0V004.3V006.7V006.9V009.5V011.9V
28065012315902050314000.8V000.8V001.1V001.2V000.9V002.2V002.9V010.8V082.7V016.9V015.4V002.1V001.0V000.9V001.4V001.3V001.0V001.2V002.4V002.9V003.6V003.5V006.1V015.6V
2807400701380205031400002V00001V00001V00002V00003V00007V00011V00009V00008V00016V00017V00010V00006V00004V00002V00002V00002V00004V00007V00007V00009V00007V00007V00006V
2807400707080205031400023V00014V00006V00019V00053V00140V00231V00145V00091V00144V00125V00041V00010V00007V00005V00006V00005V00010V00040V00055V00102V00081V00100V00062V
2807400708080205031400052V00047V00038V00046V00055V00098V00102V00084V00074V00105V00108V00060V00027V00023V00018V00026V00027V00055V00096V00101V00109V00103V00105V00091V
28074007064802050314000.6V000.6V000.5V000.6V000.8V001.5V001.8V001.5V001.1V001.6V001.4V000.7V000.5V000.5V000.5V000.5V000.6V000.7V000.9V001.1V001.2V001.1V001.1V001.0V
2807400710490205031400031V00038V00033V00026V00042V00064V00092V00106V00117V00082V00111V00117V00073V00053V00040V00034V00032V00037V00051V00059V00071V00082V00070V00060V
2807400714060205031400010V00006V00007V00006V00002V00003V00002V00003V00005V00006V00012V00028V00054V00062V00072V00066V00066V00040V00009V00003V00002V00002V00002V00002V
2807400782890205031400164V00250V00147V00063V00178V00184V00102V00044V00033V00062V00130V00141V00186V00208V00209V00253V00261V00192V00225V00254V00208V00181V00316V00230V
28074007818902050314001.0V000.6V000.6V001.1V000.6V000.8V001.1V001.4V001.8V001.8V001.9V001.8V002.4V002.1V002.3V001.8V001.6V001.9V001.6V001.3V000.9V001.0V001.3V000.9V
28074007838902050314008.9V008.3V008.1V008.2V007.5V007.3V007.7V008.5V009.5V011.2V013.7V015.8V016.5V017.1V017.9V017.8V017.6V017.0V016.1V015.1V014.1V013.6V013.1V012.4V
2807400786890205031400078V00081V00083V00082V00085V00087V00085V00081V00075V00067V00058V00052V00049V00047V00041V00039V00039V00041V00045V00050V00053V00055V00058V00059V
2807400787890205031400920V00920V00920V00920V00920V00921V00921V00922V00922V00922V00922V00922V00922V00921V00921V00921V00921V00921V00922V00922V00923V00924V00924V00925V
2807400788890205031400004V00004V00004V00004V00004V00004V00004V00027V00112V00234V00522V00601V00581V00510V00419V00235V00123V00028V00004V00004V00004V00004V00004V00004V
28074007898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205031400008V00008V00015V00019V00017V00025V00026V00032V00034V00035V00032V00022V00013V00008V00005V00005V00005V00006V00007V00014V00017V00015V00018V00023V
2800500207080205031400012V00040V00051V00034V00066V00167V00159V00118V00098V00060V00028V00016V00011V00007V00006V00006V00003V00004V00014V00109V00075V00054V00087V00045V
2800500208080205031400031V00049V00050V00044V00047V00085V00060V00065V00057V00049V00036V00029V00019V00011V00009V00013V00009V00018V00060V00099V00088V00078V00079V00064V
28005002064802050314000.9V001.2V001.3V001.1V001.1V002.0V002.3V001.6V001.5V001.3V001.1V001.1V001.1V001.0V001.0V001.0V000.9V001.0V001.4V002.3V001.9V001.5V001.3V001.0V
2800500210490205031400042V00049V00060V00067V00083V00068V00085V00103V00109V00107V00091V00071V00063V00038V00046V00026V00034V00038V00032V00057V00099V00065V00062V00082V
2800500214060205031400021V00001V00001V00001V00005V00001V00001V00001V00002V00009V00025V00042V00055V00067V00073V00069V00072V00063V00024V00002V00002V00002V00001V00001V
2800500282890205031400176V00180V00137V00119V00118V00141V00131V00106V00101V00103V00103V00271V00242V00287V00292V00288V00214V00238V00230V00175V00166V00158V00086V00102V
28005002818902050314001.2V000.9V001.4V001.7V001.6V001.0V001.3V002.5V002.8V002.9V002.5V002.3V002.0V003.1V003.0V002.9V002.8V002.5V001.5V001.3V001.2V001.6V002.3V002.4V
28005002838902050314009.8V008.7V008.4V008.0V007.3V007.0V006.9V007.2V008.5V010.4V013.3V016.1V017.2V017.7V018.6V018.8V018.5V017.7V016.6V015.1V014.2V013.8V012.9V012.3V
2800500286890205031400074V00078V00077V00076V00079V00080V00081V00080V00076V00069V00061V00051V00046V00042V00033V00033V00032V00036V00041V00047V00050V00051V00052V00054V
2800500287890205031400950V00950V00950V00950V00951V00951V00952V00952V00953V00953V00953V00953V00952V00952V00951V00951V00951V00951V00952V00953V00953V00954V00955V00955V
2800500288890205031400004V00004V00004V00004V00004V00004V00005V00016V00090V00218V00435V00560V00484V00426V00488V00289V00150V00024V00004V00004V00004V00004V00004V00004V
28005002898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205031400021V00001V00001V00001V00006V00001V00001V00001V00002V00008V00024V00040V00054V00066V00072V00068V00071V00062V00024V00002V00001V00002V00001V00002V
2800600401380205031400005V00005V00003V00003V00003V00003V00004V00005V00005V*****N*****N00008R00009V00007V00005V00004V00003V00003V00003V00004V00009V00007V00008V00005V
2800600407080205031400036V00046V00027V00012V00004V00038V00064V00062V00054V*****N*****N00022R00020V00020V00014V00015V00009V00011V00012V00050V00111V00084V00118V00072V
2800600408080205031400075V00075V00072V00053V00044V00068V00077V00074V00069V*****N*****N00055R00065V00074V00070V00073V00062V00080V00083V00113V00118V00107V00103V00087V
28006004064802050314000.5V000.5V000.4V000.3V000.3V000.4V000.9V001.1V000.9V*****N*****N000.6R000.7V000.8V000.7V000.7V000.7V000.8V000.6V000.8V001.1V001.0V001.2V000.8V
2800600410490205031400035V00037V00040V00039V00041V00035V00049V00055V00062V00079V00069V00124V00063V00066V00061V00054V00047V00047V00053V00039V00051V00066V00063V00067V
2800600414060205031400004V00004V00005V00015V00019V00005V00005V00007V00009V*****N*****N00029V00028V00030V00031V00035V00043V00023V00012R00001R00001V00002V00002V00008V
2800600482890205031400146V00141V00115V00062V00063V00137V00155V00033V00041V00056V00092V00159V00203V00182V00170V00145V00270V00248V00287V00241V00153V00130V00175V00122V
28006004818902050314001.0V001.3V001.3V001.6V001.5V000.9V001.3V001.8V002.0V002.5V002.1V002.3V002.8V002.8V002.0V002.2V002.7V002.5V001.8V001.7V001.2V001.1V000.7V001.5V
28006004838902050314007.7V007.2V007.3V007.2V006.7V005.9V006.3V007.0V007.4V008.9V012.0V014.6V015.4V015.9V016.6V017.5V017.4V016.4V015.3V014.6V013.3V012.7V011.3V010.7V
2800600486890205031400091V00092V00092V00089V00089V00091V00092V00090V00083V00079V00073V00067V00063V00061V00058V00056V00055V00057V00058V00059V00062V00063V00067V00069V
2800600487890205031400936V00936V00936V00936V00936V00937V00937V00938V00938V00939V00939V00939V00938V00938V00937V00937V00937V00938V00938V00939V00939V00940V00941V00941V
2800600488890205031400004V00004V00004V00004V00004V00004V00004V00019V00097V00243V00519V00555V00439V00302V00232V00313V00239V00046V00004V00004V00004V00004V00004V00004V
28006004898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.3V000.0V000.3V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050314001.1V001.1V001.1V001.2V001.0V001.1V001.4V001.6V001.6V001.4V000.7V000.9V001.0V001.1V001.0V001.1V001.0V000.9V001.1V001.3V001.7V001.9V001.8V001.7V
28006004205902050314005.0V007.2V005.8V004.0V002.2V003.2V004.9V005.1V005.3V004.1V000.6V002.4V003.6V003.9V003.0V003.3V003.1V004.8V004.4V004.5V009.8V010.7V014.4V014.0V
28006004315902050314002.6V004.2V002.9V002.0V001.1V001.6V002.8V003.6V003.3V003.7V000.4V001.1V001.4V001.8V001.5V001.6V001.5V002.2V002.2V002.3V007.1V007.8V009.7V009.6V
2800600442020205031407.55V08.53V08.85V07.76V07.03V07.28V07.41V07.26V07.02V*****N*****N06.85R06.83V06.73V06.57V06.59V06.60V06.87V06.90R07.21V08.86V09.68V10.64V10.09V
2800600444020205031403.21V03.58V03.03V02.56V02.24V02.51V02.65V02.58V02.46V*****N*****N01.27R01.20V01.14V01.06V01.09V01.05V01.22V01.21R01.62V02.66V02.89V03.87V03.43V
2805800401380205031400005V00004V00003V00003V00005V00005V00006R00011V00013V00016V00017V*****N*****N00007V00005V00004V00005V00007V00009V00010V00011V00009V00012V00008V
2805800407080205031400001V00001V00001V00003V00011V00013V00049R00111V00133V00128V00124V*****N*****N00004V00002V00002V00003V00003V00011V00037V00018V00008V00036V00013V
2805800408080205031400037V00026V00021V00039V00061V00063V00075R00088V00097V00102V00105V*****N*****N00030V00027V00027V00033V00048V00079V00102V00094V00084V00102V00089V
28058004064802050314000.1V000.1V000.1V000.2V000.3V000.2V000.6R000.9V001.0V000.8V000.6V*****N*****N000.2V000.2V000.2V000.2V000.2V000.4V000.6V000.6V000.5V000.6V000.4V
2805800410490205031400027V00025V00020V00025V00024V00048V00047V00064V00078V00105V00106V00114V00069V00039V00033V00031V00027V00036V00039V00069V00081V00059V00040V00054V
2805800414060205031400033V00046V00055V00026V00002V00003V00001R00001R00002V00005V00010V*****N*****N00068V00077V00081V00073V00050V00014V00003V00005V00012V00002V00004V
2805800482890205031400238V00259V00282V00136V00153V00174V00134V00107V00080V00108V00128V00136V00204V00197V00219V00208V00221V00226V00253V00254V00208V00237V00265V00056V
28058004818902050314001.7V001.5V001.8V001.6V001.3V001.8V001.4V002.0V002.2V002.8V002.8V002.8V002.8V002.5V002.8V002.9V002.3V002.7V002.3V001.7V001.0V001.2V002.1V002.5V
28058004838902050314009.3V009.6V010.0V009.2V008.1V008.4V008.7V009.1V010.2V011.4V013.2V015.2V016.1V017.0V017.7V018.4V017.2V016.7V015.6V015.4V015.0V014.9V014.6V013.8V
2805800486890205031400090V00091V00090V00094V00100V00098V00095V00093V00087V00080V00069V00060V00056V00050V00044V00039V00041V00044V00051V00051V00051V00052V00054V00058V
2805800487890205031400916V00916V00916V00916V00916V00916V00917V00917V00918V00918V00918V00918V00918V00917V00917V00917V00917V00917V00918V00918V00919V00920V00920V00921V
2805800488890205031400004V00004V00004V00004V00004V00004V00004V00021V00091V00228V00431V00529V00394V00446V00375V00332V00066V00015V00004V00004V00004V00004V00004V00004V
28058004898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205031400031V00042V00052V00026V00004V00005V00001R00002R00003V00005V00009V*****N00030V00065V00071V00076V00069V00048V00015V00004V00006V00013V00002V00005V
28058004305902050314000.5V000.4V000.3V000.3V000.8V000.7V001.2V002.1V002.5V002.6V002.3V001.1V000.6V000.3V000.3V000.3V000.3V000.4V000.9V001.5V001.3V001.2V001.2V001.1V
28058004205902050314005.3V011.9V003.6V002.2V010.3V007.7V005.9V011.4V010.9V017.8V016.0V010.1V012.1V005.2V006.4V003.9V006.3V011.0V025.2V032.9V023.6V010.7V008.1V007.3V
28058004315902050314032.0V100.8V064.5V034.4V006.4V019.5V009.9V006.7V008.0V013.3V012.2V010.4V038.0V013.0V006.6V004.0V006.6V020.4V029.1V019.3V017.1V006.3V004.8V004.1V
2805800442020205031411.35V15.06V10.64V10.90V11.32V10.77V10.84V11.80V14.44V17.01V15.50V14.67V13.33V10.15V09.34V09.23V09.43V10.03V10.63V10.82V10.88V10.56V10.97V10.53V
2805800444020205031403.00V02.86V02.13V02.36V02.45V02.26V02.36V03.29V02.87V02.63V02.76V04.26V05.43V02.98V03.16V03.32V03.09V02.91V03.18V03.13V02.87V02.60V02.91V02.52V
2809200501380205031400001V00002V00002V00003V00005V00004V00008V00016V00015V00014V00016V00014V00004V00012R*****N00006R00006V00009V00003R00010V00018V00016V00011V00007V
2809200507080205031400005V00004V00010V00010V00014V00025V00060V00170V00104V00063V00048V00061V00025V00009R*****N00008V00006V00004V00009R00027V00070V00100V00065V00025V
2809200508080205031400013V00009V00017V00021V00023V00027V00031V00041V00037V00033V00034V00044V00029V00014R*****N00013V00010V00010V00021R00039V00047V00048V00041V00037V
28092005064802050314000.5V000.5V000.5V000.6V000.6V000.8V001.0V001.4V001.0V000.9V000.9V000.9V000.6V000.5R*****N000.4V000.4V000.4V000.5R000.6V000.9V000.9V000.8V000.6V
2809200510490205031400024V00024V00020V00023V00028V00038V00045V00054V00102V00076V00072V00072V00109V00063V00036V00041V00043V00029V00033V00042V00060V00069V00064V00049V
2809200514060205031400029V00035V00017V00010V00007V00002V00002V00002V00003V00011V00023V00025V00036V00056R*****N00068V00073V00069V00044R00008V00002V00002V00002V00006V
2809200582890205031400186V00129V00224V00178V00074V00102V00149V00192V00184V00041V00102V00146V00125V00119V00175V00226V00231V00181V00179V00231V00312V00143V00316V00015V
28092005818902050314001.3V001.7V001.1V000.9V002.3V002.0V001.5V001.6V002.4V002.1V002.5V002.7V003.1V002.3V002.3V002.6V002.0V002.3V002.5V001.4V001.4V001.7V001.6V001.8V
28092005838902050314008.9V009.0V008.9V008.8V008.9V008.9V009.3V008.9V009.9V012.1V014.4V015.9V015.8V017.3V017.4V017.4V017.3V017.0V015.7V014.2V013.9V013.6V012.8V013.4V
2809200586890205031400078V00078V00079V00081V00081V00079V00077V00080V00075V00065V00057V00049V00049V00044V00040V00038V00036V00037V00042V00049V00050V00052V00056V00051V
2809200587890205031400918V00918V00918V00918V00918V00919V00919V00920V00920V00921V00921V00921V00920V00920V00919V00919V00919V00919V00920V00921V00921V00922V00923V00923V
2809200588890205031400004V00004V00004V00004V00004V00004V00004V00022V00121V00345V00640V00659V00310V00543V00259V00262V00154V00068V00004V00004V00004V00004V00004V00004V
28092005898902050314000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205031400004V00004V00004V00005V00006V00005V00009V*****N*****N00012V00009V00008V00006V00004V00004V00002V00003V00003V00004V00006V00009V00006V00004V00005V
